merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
GOPAY *PENEPEX.CZ,gopay penepex,5719,UHERSKE HRADI,CZ,100.64,17/1/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",,0.95,rule_based,mcc_rule,no
LIME*RIDE LU5N,lime ride,7999,18885463345,US,62.96,28/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
CCV*PONG WEST B.V.,ccv pong west,7999,AMSTERDAM,NL,53.26,11/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
9BFF5 ENTERTAI,entertai,4899,DUBLIN 4,IE,64.47,14/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
AMAZON UK* ZL1HB4FV4,amazon,5399,LONDON,GB,185.84,20/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
APTEKAZDROWIT,aptekazdrowit,5912,BELCHATOW,PL,83.89,30/9/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
ZETTLE_*YAKI BOX LTD,zettle yaki box ltd,5812,LONDON,GB,55.45,3/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
ALBERT HEIJN 1068,albert heijn,5411,WADDINXVEEN,NL,39.47,4/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB HMQME48W3,paypal airbnb,7011,35314369001,GB,111.2,18/12/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
ALNATURA PRODUKTIONS U,alnatura produktions,5411,BERLIN,DE,5.25,14/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
MULVEYS HOUSE OF GIFTS,mulveys house gifts,5947,CARRICK ON SH,IE,91.09,12/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,,no
DELIJN##HASH##,delijn hash,4111,DL XZQX0YYG,BE,90.76,19/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
BRONCEMAR BEACH,broncemar beach,7011,CASTILLO DE C,ES,139.52,15/10/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
NAYAX AMUSEMENTS,nayax amusements,5814,HUNT VALLEY,US,107.66,30/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
DEEZEREUROPE DASASW,deezereurope dasasw,5815,PARIS,FR,48.23,26/10/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
VIGO -PONTEVEDR 11 : 07,vigo pontevedr,4784,A CORU#A,ES,23.96,21/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
MCDONALD'S,mcdonald,5812,TRENTO,IT,188.24,17/3/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
"CESKA SPORITELNA, A.S.",ceska sporitelna,6011,PRAHA,CZ,90.82,14/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule,no
HOTEL PLAYABALLENA,hotel playaballena,7011,ROTA (CADIZ),ES,158.04,7/11/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
ROCAMBOLESCO,rocambolesco,5814,PEIRAIAS,GR,25.77,6/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
TABAK TRAFIK RAINER-LI,tabak trafik rainer,5993,WIEN,AT,174.92,27/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
TUI      -PUXEIROS  13:03,tui puxeiros,4784,A CORU£A,ES,138.53,15/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
THE HOME DEPOT #3002,the home depot,5200,BRENTWOOD,US,95.5,10/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,,no
PIERRE BAGUETTE,pierre baguette,5814,TRNAVA,SK,182.01,17/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
AMAZING.COM,amazing,7392,AUSTIN,US,153.67,25/12/2025,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,no
TONYS TO GO,tonys,5812,KREMS AN DER,AT,168.46,16/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
RDAH6UQUQSAI,,4111,TOULOUSE CEDE,FR,97.8,27/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
TOOGOODT 5JBHWQ5JHBAG0,toogoodt,5812,TOOGOODTOGO.C,DK,100.6,17/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
HOUSEMARKET AE,housemarket,5712,MAROUSI,GR,118.27,23/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
HOLLYWOOD BOWL,hollywood bowl,7933,TEESIDE LEI,GB,68.31,14/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
"SZOLNOK, JUBILEUM TE'R",szolnok jubileum,4112,SZOLNOK,HU,8.4,4/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule,no
ROKU FOR EPG,roku for epg,5815,AMSTERDAM,NL,113.06,27/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
AMAZON UK* ZR1SK4PJ4,amazon,5399,LONDON,GB,114.44,16/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
SQSP* WORKSP#206675629,sqsp worksp,7372,NEW YORK,US,97.56,1/1/2026,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
AMAZON UK* BZ4J97CU5,amazon,5399,LONDON,GB,25.16,25/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
GS STAR GMBH,star gmbh,7011,MUENCHEN,DE,85.34,8/1/2026,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 6D702 SHOW,skyshowtime show,4899,AMSTERDAM,NL,166.3,5/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
CARUSEL CARBURANTI,carusel carburanti,5541,PESCHICI FG,IT,135.59,12/10/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
KOME SVA 33,kome sva,5411,SOFIYA,BG,6.48,6/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
EXARING AG,exaring,7399,JLHDC-JXJND W,DE,32.55,10/12/2025,professional services,,business services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,,yes
GOPAY  *YUMMYPALEO.CZ,gopay yummypaleo,5942,HTTPS://SHOP.,CZ,100.3,2/3/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,,no
WWW.OLAJSHOP.HU,olajshop,5533,SZATOK,HU,141.89,15/11/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule,no
MOL 18107,mol,5541,BALASSAGYARMA,HU,59.05,18/2/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
ALYLO BAR RESTAURA,alylo bar restaura,5812,SIFNOS,GR,34.91,6/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB HMDQYE5JQ,paypal airbnb,7011,35314369001,LU,46.58,28/10/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
LIME*PASS OBYK,lime pass obyk,4789,WIEN,AT,127.47,21/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DELIJN##HASH##,delijn hash,4111,DL 91QSKWV4,BE,64.65,22/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LEHENE FLAVIU MIHAI,lehene flaviu mihai,6012,VILNIUS,LT,151.07,11/10/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL OTCO4HH9,BE,61.52,1/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
MOONPAY*BCOM 7291,moonpay bcom,6051,MOONPAY.COM,IE,59.18,24/10/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
MERCADONA LAS CALIFORNIAS,mercadona las californias,5411,MIRANDA DE EB,ES,158.68,26/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
JETSTARGNRJMQ,jetstargnrjmq,3079,COLLINGWOOD,AU,73.97,5/10/2025,travel & airlines,Airlines,airlines,Individual airline merchant codes,,0.95,rule_based,mcc_rule,no
SEEBURG LAKE LUCERNE A,seeburg lake lucerne,7011,LUZERN,CH,180.88,1/12/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
HYPEDROP,hypedrop,7994,8156395,CY,169.15,23/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
ALDI 56.SZ.,aldi,5411,BUDAPEST,HU,19.57,27/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
GOPAY  *DEDOMA.SK,gopay dedoma,5712,PRAHA,SK,33.95,27/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
FOODORA_AT_VT5Y-0EUN,foodora,5499,WIEN,AT,114.35,21/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
KFC KIOSK ORADEA DT,kfc kiosk oradea,5814,ORADEA,RO,45.88,19/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
ARPOPARK PROMOTION AG,arpopark promotion,7999,WINTERTHUR,CH,83.39,15/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
VIPPS*SKJALG LILLEENG,vipps skjalg lilleeng,4829,OSLO,NO,9.08,20/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25214012959�,FR,91.98,27/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
PAYPAL *BOLT.EU O 2411020,paypal bolt,4789,5226223,EE,92.04,18/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
LA METROPOLE MOB,metropole mob,4111,K6QP8715L908�,FR,197.25,11/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
GOPAY  *KAVAPODEBRADY.EU,gopay kavapodebrady,5499,PODEBRADY,CZ,90.68,8/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
WWW.ALFIES.CH,alfies,5411,41555391963,CH,166.82,7/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
BLAS,blas,5812,DONEGAL TOWN,IE,111.36,25/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
STA-AG SPA,sta spa,4111,BOZEN - BOLZA,IT,122.54,1/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIME*VIAJE EN3M,lime viaje,4789,ABU DHABI,AE,9.34,16/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
KING POWER DUTY FREE-SVB,king power duty free svb,5309,SAMUTPRAKAN,TH,122.22,8/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
SEASHEPHERD,seashepherd,8641,LAREN,NL,65.24,24/11/2025,professional services,,membership organizations,"Religious, civic, social clubs",,0.0,rule_based,,yes
PAYDO,paydo,6012,ATHENS,GB,121.1,27/12/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
O17628554768912663 APP BR,,9311,TORINO,IT,21.93,21/2/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
SPILNU,spilnu,7995,ID:1761634701,DK,62.36,5/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
GOPAY  *RESTORIO.SK,gopay restorio,5942,PRAHA 2,SK,124.31,30/11/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,,no
CML*TAXI 68023,cml taxi,4121,BERKSHIRE,GB,106.69,7/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
ELEKTROMARKET,elektromarket,5732,DOMAZLICE,CZ,196.36,1/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule,no
APPLO,applo,4829,SNERTINGDAL,GB,107.64,16/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
NTP*BILETERIA,ntp bileteria,4131,BUCURESTI,RO,70.94,24/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,,no
SUMUP  *MARIPOSA COFFE,sumup mariposa coffe,5812,LJUBLJANA,SI,174.36,15/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
BABBEL.COM 158726943,babbel,8299,BERLIN,DE,182.59,13/11/2025,education,"Schools, universities, education services",education,"Schools, universities, vocational training",Educational Services,0.95,rule_based,mcc_rule,no
NOMNOM ASIA MARKT,nomnom asia markt,5411,GOETZIS,AT,129.41,21/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIDLL 112 TIENEN,lidll tienen,5411,TIENEN,BE,68.73,10/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*FAHRT DIP6,lime fahrt,4789,FRANKFURT,DE,27.38,4/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
"PEKAREN MOTYCKY, MOTYC",pekaren motycky motyc,5462,MOTYCKY,SK,134.88,8/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
HEROKU* OCT-87897199,heroku oct,5734,WWW.HEROKU.CO,US,86.1,16/3/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
1711672945630J372Q TELEPE,telepe,4784,MILANO,IT,108.19,29/12/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
GOANDFIND.ME* OY8EOK,goandfind,5734,3469133958,ES,111.01,9/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
GOPAY  *HA-FI.CZ,gopay,4814,OSTRAVA,CZ,81.44,9/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
